note_idx,text,img,userPg_idx,content_idx,genre_idx,category_idx
1,새로운 팝 히트곡 너무 좋아요! 🎤,note1.jpg,1,1,1,1
2,락 클래식은 언제 들어도 최고! 🤟,note2.jpg,2,2,2,1
3,재즈로 저녁을 보내는 중... ☕,note3.jpg,3,3,3,1
4,힙합 비트에 푹 빠졌어요! 🎶,note4.jpg,4,4,4,1
5,클래식 음악이 마음을 채워요 🎻,note5.jpg,5,5,5,1
6,EDM으로 파티 분위기 UP! 🕺,note6.jpg,6,6,6,1
7,팝 발라드 감성 최고! 💖,note7.jpg,7,7,1,1
8,락 에너지 넘쳐요! ⚡,note8.jpg,8,8,2,1
9,재즈 나이트 완벽해요 🌙,note9.jpg,9,9,3,1
10,힙합 소울이 내 스타일 🎵,note10.jpg,10,10,4,1
11,클래식 피아노 너무 좋아요 🎹,note11.jpg,11,11,5,1
12,일렉트로닉 비트 짱! 🌌,note12.jpg,12,12,6,1
13,팝 댄스 곡 추천해요 💃,note13.jpg,13,13,1,1
14,락 레전드 명곡들 🎸,note14.jpg,14,14,2,1
15,재즈 소울로 힐링 중 🎷,note15.jpg,15,15,3,1
16,힙합 플로우 대박! 🎙️,note16.jpg,16,16,4,1
17,클래식 오케스트라 감동적 🎼,note17.jpg,17,17,5,1
18,EDM 드림 사운드 ✨,note18.jpg,18,18,6,1
19,팝 히트곡 최고! 🎉,note19.jpg,19,19,1,1
20,락 파워 넘쳐요 🔥,note20.jpg,20,20,2,1
21,재즈 라운지 분위기 🍸,note21.jpg,21,21,3,1
22,힙합 스트리트 바이브 🛹,note22.jpg,22,22,4,1
23,클래식 바이올린 멋져요 🎻,note23.jpg,23,23,5,1
24,일렉트로닉 웨이브 굿! 🌊,note24.jpg,24,24,6,1
25,팝 러브 송 감성적 💕,note25.jpg,25,25,1,1
26,락 소울이 진짜 좋아 🎵,note26.jpg,26,26,2,1
27,재즈 블루스 최고! 🎸,note27.jpg,27,27,3,1
28,힙합 에너지 넘쳐 ⚡,note28.jpg,28,28,4,1
29,클래식 심포니 감동 🎼,note29.jpg,29,29,5,1
30,EDM 파티 사운드 🎈,note30.jpg,30,30,6,1
31,팝 스타일 좋아요 🌟,note31.jpg,31,31,1,1
32,락 드림 사운드 🌌,note32.jpg,32,32,2,1
33,재즈 히트곡 추천 🎷,note33.jpg,33,33,3,1