todo_idx,datetime,text,todo_group,color,ac_idx
1,2025-05-15 15:45:00,새 팝 앨범 듣기,음악,파랑,1
2,2025-05-15 15:45:00,락 플레이리스트 만들기,음악,빨강,2
3,2025-05-15 15:45:00,재즈 아티스트 탐색,음악,초록,3
4,2025-05-16 09:00:00,힙합 신곡 체크,음악,노랑,4
5,2025-05-17 10:15:00,클래식 앨범 듣기,음악,파랑,5
6,2025-05-18 11:30:00,EDM 플레이리스트 만들기,음악,빨강,6
7,2025-05-19 12:45:00,팝 곡 추천 받기,음악,초록,7
8,2025-05-20 14:00:00,락 콘서트 예약,음악,노랑,8
9,2025-05-21 15:15:00,재즈 앨범 탐색,음악,파랑,9
10,2025-05-22 16:30:00,힙합 믹스테잎 듣기,음악,빨강,10
11,2025-05-23 17:45:00,클래식 공연 예약,음악,초록,11
12,2025-05-24 19:00:00,EDM 신곡 체크,음악,노랑,12
13,2025-05-25 20:15:00,팝 플레이리스트 공유,음악,파랑,13
14,2025-05-26 21:30:00,락 밴드 탐색,음악,빨강,14
15,2025-05-27 22:45:00,재즈 라디오 듣기,음악,초록,15
16,2025-05-28 08:00:00,힙합 아티스트 팔로우,음악,노랑,16
17,2025-05-29 09:15:00,클래식 곡 추천,음악,파랑,17
18,2025-05-30 10:30:00,EDM 페스티벌 예약,음악,빨강,18
19,2025-05-31 11:45:00,팝 신곡 듣기,음악,초록,19
20,2025-06-01 13:00:00,락 앨범 구매,음악,노랑,20
21,2025-06-02 14:15:00,재즈 콘서트 예약,음악,파랑,21
22,2025-06-03 15:30:00,힙합 뮤비 보기,음악,빨강,22
23,2025-06-04 16:45:00,클래식 피아노 연주,음악,초록,23
24,2025-06-05 18:00:00,EDM 믹스 듣기,음악,노랑,24
25,2025-06-06 19:15:00,팝 콘서트 예약,음악,파랑,25
26,2025-06-07 20:30:00,락 공연 예약,음악,빨강,26
27,2025-06-08 21:45:00,재즈 앨범 구매,음악,초록,27
28,2025-06-09 23:00:00,힙합 신곡 공유,음악,노랑,28
29,2025-06-10 08:15:00,클래식 라디오 듣기,음악,파랑,29
30,2025-06-11 09:30:00,EDM 앨범 탐색,음악,빨강,30
31,2025-06-12 10:45:00,팝 뮤비 보기,음악,초록,31
32,2025-06-13 12:00:00,락 신곡 체크,음악,노랑,32
33,2025-06-14 13:15:00,재즈 플레이리스트 만들기,음악,파랑,33